yearsSchool wage
13 6.3152956461
12 5.4797699786
11 3.6421699174
14 4.5933365997
14 2.4181574607
14 2.0940581101
12 5.5120039196
12 3.5484271597
10 5.8182263596
12 3.8277804998
14 6.7368936796
13 12.861342479
13 7.6555609995
10 2.4497795198
13 6.1056621468
15 8.2680058795
14 1.8624054829
11 3.9808917197
12 4.7634601775
12 6.3805955861
14 5.6311238472
11 2.4880573248
14 1.2237382772
12 1.3456535391
14 0.7511116452
14 11.330230279
12 3.8947576562
13 2.9985152513
12 3.2678961879
12 1.3551971812
14 4.2871141597
12 7.6249387555
13 4.4437861058
12 1.1342814763
15 9.0641842234
12 3.9808917197
12 3.4507052379
14 8.0967289215
13 8.7352138308
15 7.2758451739
12 5.5120039196
15 9.786358811
14 7.0431161195
11 0.7852717913
12 4.0087301234
12 3.6121512769
7 3.1847133758
15 5.8182263596
12 2.2747952684
16 5.4478926684
12 2.4035572648
14 9.0335619794
13 4.9740959419
14 9.3276123977
12 5.8734467996
12 3.2832096658
14 2.1435570799
13 2.5605735685
14 9.1866731994
12 2.8351910828
12 5.8976173626
12 2.5332947307
14 8.2680058795
15 14.102051849
11 0.7293236738
11 4.5933365997
12 3.3777263077
13 3.1847133758
9 5.0074109682
12 2.3189660503
12 3.387992953
11 2.4497795198
13 5.8182263596
13 5.3588926997
11 7.1432823382
12 5.5996360328
12 3.8277804998
12 8.0713228206
12 3.9439174932
12 6.3455414013
13 5.4836124351
13 6.9801937004
13 10.047012436
12 5.5120039196
15 6.2556869882
12 3.2344745223
10 1.9183214687
14 11.091041607
14 5.1844171234
14 5.1366344771
13 4.241819428
12 3.9028350194
12 6.7803575098
12 1.0261854211
12 4.593064402
8 0.4386814489
13 7.3493385595
12 4.5933365997
13 4.7245747883
13 4.8172135096
12 8.5304822566
14 6.195187114
13 4.7046902142
12 5.083341382
12 5.790387956
16 5.103707333
14 6.9908342396
12 4.3162052915
13 7.7100274414
12 5.7109839017
12 1.9819297555
12 5.8175870643
13 3.6746692798
13 2.7560019598
14 4.9481497078
12 3.9808917197
13 4.1571449409
12 4.7444519565
12 6.6136220264
13 2.7375759677
13 5.2495275425
12 3.9851788339
12 7.9617834395
13 6.1182562326
12 3.1429922399
13 6.1244487996
12 4.8621578256
10 1.8094962362
12 2.3810941127
12 3.6746692798
13 6.984020561
13 12.248897599
12 7.3493385595
12 1.9780828421
12 3.2153356198
12 4.7278219187
13 8.7296711824
12 6.6546249644
13 4.6267022409
11 3.0622243998
13 5.9061957151
12 4.4795968363
12 3.3684468398
12 2.8070390332
14 7.7241182622
13 3.694563081
14 6.498828198
13 2.3891985138
12 4.5933365997
11 4.0829658664
12 2.4560771536
13 7.6555609995
14 3.1649325474
13 4.9425376278
12 3.6746692798
10 2.0220402386
12 9.7991180794
13 7.5826508948
13 2.9903411979
12 4.2871141597
11 4.5933365997
12 1.2132241432
12 6.1244487996
14 7.1463085564
11 3.3616418967
12 2.1435570799
12 1.9598236159
13 4.32211101
12 0.1028907398
9 2.5477707006
12 7.9617834395
12 6.5739496289
11 4.2871141597
11 3.2938447178
12 6.9107704357
12 4.4479237092
11 0.7799298063
12 4.7230918709
12 3.9317449084
10 1.3504084986
13 3.5385704176
12 2.87054786
11 2.4811139091
12 4.1340029397
12 1.5329546935
12 2.4497795198
11 4.4613441687
13 4.0429136911
11 3.3684468398
14 5.1087252083
11 7.2599848992
12 8.2680058795
12 3.2153356198
12 4.9146811355
12 5.639596603
12 4.303666724
12 4.5933365997
12 2.7186577598
12 4.4053672057
11 2.3828757021
12 7.9617834395
11 4.7890426704
12 9.6096961834
12 0.9312027415
11 2.8201186031
13 3.5107076584
12 3.9808917197
12 5.5120039196
12 2.9488086813
12 4.5933365997
10 4.4785031847
12 3.0421142694
12 3.5783296357
12 5.2037800258
12 2.6154650912
12 2.7997480227
12 6.5486530455
11 4.4855117969
11 2.6211632723
12 7.8340542934
13 6.2784349409
12 4.5933365997
13 6.4306712396
12 5.247725439
12 12.535891451
12 2.2798842959
14 7.6555609995
12 4.8995590397
11 9.8369525121
12 7.3493385595
11 4.4605327626
8 1.7646227374
11 6.5870870183
10 3.7913254474
11 5.8182263596
11 9.5601151994
10 3.1376486461
11 4.7938485336
10 0.5188942364
10 2.9433580183
11 3.3924120742
11 6.1372080679
12 4.385411563
11 3.6746692798
12 2.8172464478
11 3.9196472317
11 2.9236712958
10 6.0884226302
10 1.7095431108
11 9.1866731994
11 2.5297811458
12 4.8131688299
11 4.0185657739
10 3.1867050665
11 1.5696087352
11 3.0622243998
11 4.8995590397
11 5.1574305681
10 1.7085372188
11 5.7562599327
11 5.7413645272
11 9.9079971691
10 2.3700192564
11 4.7770700637
11 3.3684468398
12 7.9617834395
11 3.0009799118
11 4.8344795078
10 5.0526702597
12 6.4306712396
11 0.7655561
11 5.2002694757
10 3.4805610664
11 0.9295483203
10 1.8761644785
12 4.2871141597
13 3.7555582262
11 3.6746692798
11 15.923566879
12 5.4082564263
12 5.1366344771
11 1.7122114924
10 4.4607615196
10 2.9013278635
10 6.0445247428
10 8.2680058795
11 6.2856185049
12 5.6651151396
10 5.6651151396
12 3.1847133758
11 5.861435661
11 6.5118739952
11 1.7777506882
10 6.8243858053
11 4.2462845011
11 5.3895149437
8 2.9785089126
10 1.6331863466
10 2.7560019598
11 3.9709093713
10 6.2605476618
10 3.2570932252
10 3.1551339946
10 6.1244487996
10 3.6938917385
10 3.1154804763
10 0.9186673199
12 12.248897599
10 1.7284740167
11 5.5872164488
10 4.4437861058
9 3.2729404666
9 3.6746692798
14 5.1445369917
15 5.2086433716
12 6.451247451
12 4.5933365997
12 3.8964682412
14 5.0179307392
14 5.7569818716
11 0.4246284501
15 5.0906418422
14 5.8674350834
12 4.6083707763
11 4.2871141597
10 4.4729120447
12 7.1237009722
15 8.5495661095
15 10.411562959
14 3.0330603579
14 5.9713375796
11 5.4439544885
14 2.2568834947
13 5.6617126681
10 2.5477707006
12 5.9021715073
12 2.8784909358
12 3.7103456805
13 7.6471356697
13 4.4897275035
12 4.2194335602
14 6.1244487996
14 3.9808917197
11 5.1196337956
12 3.3868201862
13 1.6543965589
13 8.9327326394
12 5.1366344771
13 3.9808917197
9 5.7526182403
14 8.1731582211
12 7.593266606
14 10.419403648
12 4.491262453
12 4.0143445913
12 3.0896473049
14 3.7733570803
14 5.9713375796
12 3.821656051
13 5.8182263596
12 4.0059287746
12 5.5120039196
12 6.7368936796
16 9.4361877801
13 7.0431161195
13 7.3065743285
12 6.6494015539
10 9.1993096137
12 7.6555609995
12 7.6072100879
14 7.2741748697
14 3.3684468398
12 2.8708353748
12 5.6962353063
